0.00,76.139,73.691
1.00,76.969,74.54
2.00,77.049,73.946
3.00,77.298,74.796
4.00,77.218,76.887
5.00,77.145,77.531
6.00,77.066,77.259
7.00,77.052,77.084
8.00,77.069,77.217
9.00,77.451,77.077
10.00,77.58,77.104
11.00,77.783,77.147
12.00,77.882,77.277
13.00,78.125,77.377
14.00,78.413,77.5
15.00,78.715,77.619
16.00,79.014,77.739
17.00,79.356,78.263
18.00,80.065,78.483
19.00,80.425,78.831
20.00,80.804,79.18
21.00,81.206,79.519
22.00,81.618,79.851
23.00,82.046,80.154
24.00,82.513,80.451
25.00,83.02,80.713
26.00,83.533,81.223
27.00,84.624,81.429
28.00,85.128,81.628
29.00,85.638,81.812
30.00,86.102,81.969
31.00,86.428,82.106
32.00,86.674,82.237
33.00,86.873,82.355
34.00,86.958,82.466
35.00,87.37,82.649
36.00,87.285,82.744
37.00,87.206,82.842
38.00,87.109,82.944
39.00,86.991,83.042
40.00,86.893,83.14
41.00,86.792,83.235
42.00,86.674,83.314
43.00,86.269,83.373
44.00,85.972,83.438
45.00,85.625,83.435
46.00,85.478,83.416
47.00,85.328,83.38
48.00,85.191,83.321
49.00,85.034,83.249
50.00,84.881,83.171
51.00,84.708,83.07
52.00,84.538,82.965
53.00,84.358,82.721
54.00,83.966,82.58
55.00,83.74,82.44
56.00,83.528,82.303
57.00,83.313,82.153
58.00,83.081,81.996
59.00,82.832,81.836
60.00,82.617,81.663
61.00,82.385,81.496
62.00,82.133,81.154
63.00,81.646,80.971
64.00,81.405,80.794
65.00,81.146,80.612
66.00,80.921,80.429
67.00,80.669,80.243
68.00,80.415,80.043
69.00,80.189,79.852
70.00,79.924,79.663
71.00,79.691,79.261
72.00,79.187,79.066
73.00,78.955,78.864
74.00,78.673,78.668
75.00,78.447,78.462
76.00,78.191,78.267
77.00,77.936,78.058
78.00,77.701,77.862
79.00,77.422,77.653
80.00,77.196,77.248
81.00,76.692,77.046
82.00,76.446,76.837
83.00,76.194,76.625
84.00,75.959,76.426
85.00,75.703,76.22
86.00,75.474,76.001
87.00,75.219,75.792
88.00,75,75.577
89.00,74.731,75.165
90.00,74.257,74.957
91.00,74.041,74.741
92.00,73.779,74.529
93.00,73.566,74.32
94.00,73.304,74.111
95.00,73.095,73.898
96.00,72.84,73.683
97.00,72.637,73.467
98.00,72.375,73.053
99.00,71.924,72.844
100.00,71.708,72.631
101.00,71.463,72.426
102.00,71.247,72.217
103.00,71.012,72.011
104.00,70.799,71.809
105.00,70.567,71.597
106.00,70.348,71.391
107.00,70.136,70.98
108.00,69.685,70.771
109.00,69.425,70.568
110.00,69.243,70.366
111.00,69,70.16
112.00,68.8,69.954
113.00,68.571,69.751
114.00,68.365,69.542
115.00,68.145,69.343
116.00,67.925,68.924
117.00,67.476,68.721
118.00,67.294,68.519
119.00,67.067,68.323
120.00,66.872,68.117
121.00,66.655,67.918
122.00,66.439,67.715
123.00,66.243,67.512
124.00,66.017,67.316
125.00,65.834,66.911
126.00,65.416,66.722
127.00,65.22,66.519
128.00,64.99,66.33
129.00,64.828,66.134
130.00,64.605,65.945
131.00,64.419,65.749
132.00,64.216,65.557
133.00,63.99,65.368
134.00,63.828,64.976
