0,0,0,0
300,1.572327044,1.257861635,2.046783626
600,1.886792453,1.886792453,3.216374269
900,1.886792453,1.257861635,3.50877193
1200,0.9433962264,1.886792453,4.970760234
1500,1.572327044,1.886792453,4.970760234
1800,1.572327044,2.201257862,6.725146199
2100,1.572327044,1.257861635,6.432748538
2400,2.201257862,1.257861635,7.30994152
2700,1.572327044,0.9433962264,7.01754386
3000,1.572327044,0.9433962264,8.771929825
3300,2.201257862,0.6289308176,9.356725146
3600,1.886792453,1.886792453,8.771929825
